"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.559940000E-1,6.510000229E-1,6.742000103E0,9.307999611E0,1.151161254E1
6.660176930E-1,8.420000076E-1,6.894999981E0,9.116999626E0,1.146166092E1
6.759978470E-1,9.959999919E-1,7.010000229E0,8.810000420E0,1.130257610E1
6.859892310E-1,1.110000014E0,7.086999893E0,8.312000275E0,1.097939052E1
6.960235390E-1,1.149000049E0,7.086999893E0,7.737999916E0,1.055568147E1
7.060071540E-1,1.072000027E0,7.163000107E0,7.163000107E0,1.018657573E1
7.159980000E-1,1.072000027E0,7.355000019E0,6.780000210E0,1.006049761E1
7.259959230E-1,1.225000024E0,7.623000145E0,6.742000103E0,1.025013764E1
7.360186930E-1,1.646999955E0,7.853000164E0,7.010000229E0,1.065468553E1
7.489433850E-1,2.259999990E0,8.043999672E0,7.431000233E0,1.118182879E1
7.563040000E-1,2.987999916E0,8.312000275E0,7.967999935E0,1.189565110E1
7.660142310E-1,3.714999914E0,8.696000099E0,8.581000328E0,1.276930729E1
7.759968470E-1,4.481999874E0,9.039999962E0,9.116999626E0,1.359888247E1
7.868150770E-1,5.209000111E0,9.307999611E0,9.538000107E0,1.430894772E1
7.965433850E-1,5.899000168E0,9.576999664E0,9.920999527E0,1.499811179E1
8.060056160E-1,6.434999943E0,9.845000267E0,1.049600029E1,1.576385983E1
8.159997700E-1,7.047999859E0,1.007499981E1,1.126200008E1,1.667370892E1
8.263294620E-1,7.853000164E0,1.030500031E1,1.183699989E1,1.754927945E1
8.378982310E-1,8.734000206E0,1.038099957E1,1.214299965E1,1.820715112E1
8.459999230E-1,9.538000107E0,1.045800018E1,1.218200016E1,1.867469790E1
8.559976930E-1,1.022799969E1,1.068799973E1,1.195199966E1,1.901829676E1
8.662586160E-1,1.084099960E1,1.095600033E1,1.160700035E1,1.929465399E1
8.771615390E-1,1.130099964E1,1.122399998E1,1.114700031E1,1.944084320E1
8.860776930E-1,1.168400002E1,1.137699986E1,1.061100006E1,1.945624076E1
8.959896930E-1,1.191300011E1,1.149199963E1,1.030500031E1,1.949817064E1
9.060097700E-1,1.214299965E1,1.172200012E1,1.034300041E1,1.979483228E1
9.160064620E-1,1.268000031E1,1.195199966E1,1.053400040E1,2.036167646E1
9.259934620E-1,1.352200031E1,1.222000027E1,1.057299995E1,2.107038744E1
9.359944620E-1,1.440400028E1,1.248799992E1,1.045800018E1,2.174385278E1
9.459960000E-1,1.513099957E1,1.275599957E1,1.022799969E1,2.227722268E1
9.559925390E-1,1.578299999E1,1.310099983E1,9.920999527E0,2.278520390E1
9.660012310E-1,1.658699989E1,1.344600010E1,9.692000389E0,2.344905874E1
9.761064620E-1,1.758300018E1,1.375199986E1,9.614999771E0,2.430488873E1
9.859919230E-1,1.854100037E1,1.390600014E1,9.729999542E0,2.513599860E1
9.960069230E-1,1.911499977E1,1.398200035E1,1.018999958E1,2.578207985E1
1.006023077E0,1.942200089E1,1.386699963E1,1.103199959E1,2.629092642E1
1.016128923E0,1.972800064E1,1.356099987E1,1.214299965E1,2.684300965E1
1.025999770E0,1.999699974E1,1.302400017E1,1.344600010E1,2.739159538E1
1.036023385E0,1.984300041E1,1.222000027E1,1.459500027E1,2.749703811E1
1.046871231E0,1.919199944E1,1.130099964E1,1.524600029E1,2.699047906E1
1.055997462E0,1.808099937E1,1.018999958E1,1.528499985E1,2.577576090E1
1.066013770E0,1.677899933E1,9.039999962E0,1.505500031E1,2.428805163E1
1.076039462E0,1.562899971E1,7.699999809E0,1.486299992E1,2.290118764E1
1.086244231E0,1.471000004E1,6.320000172E0,1.471000004E1,2.174190894E1
1.096617385E0,1.390600014E1,4.864999771E0,1.482499981E1,2.090037516E1
1.106262385E0,1.287100029E1,3.332000017E0,1.532299995E1,2.028692190E1
