"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.279363850E-1,2.370332032E-1,7.508445740E0,4.635315895E0,8.827179369E0
1.299383850E-1,2.681587934E-1,7.503657341E0,4.570670605E0,8.790211170E0
1.319403850E-1,2.777358890E-1,7.498868465E0,4.525179386E0,8.762842801E0
1.339405000E-1,3.088614643E-1,7.491685867E0,4.458139896E0,8.723288593E0
1.359425000E-1,3.256213665E-1,7.518023014E0,4.412648678E0,8.723426372E0
1.379445000E-1,3.232271075E-1,7.539571285E0,4.403071404E0,8.737084680E0
1.399433850E-1,3.256213665E-1,7.585062504E0,4.403071404E0,8.776459437E0
1.419453850E-1,3.136500120E-1,7.623371124E0,4.417437077E0,8.816343571E0
1.439473850E-1,2.801301479E-1,7.654496670E0,4.443774223E0,8.855332942E0
1.459493850E-1,2.130904645E-1,7.711959362E0,4.472505569E0,8.917568661E0
1.479513850E-1,1.795706153E-1,7.757450581E0,4.558699131E0,8.999556816E0
1.499533850E-1,1.652049571E-1,7.819701672E0,4.585036278E0,9.066288357E0
1.519553850E-1,1.436564922E-1,7.865192890E0,4.649681568E0,9.137911965E0
1.539548460E-1,1.412622184E-1,7.932232380E0,4.735875607E0,9.239522894E0
1.559568460E-1,1.412622184E-1,7.956175327E0,4.771789551E0,9.278505072E0
1.579588460E-1,1.675992310E-1,7.987300873E0,4.862771988E0,9.352626163E0
1.599608460E-1,1.939362586E-1,8.016032219E0,4.932206154E0,9.413874938E0
1.619628460E-1,2.011190802E-1,8.023215294E0,5.068679810E0,9.492309916E0
1.639648460E-1,2.298503816E-1,8.054340363E0,5.188393593E0,9.583561861E0
1.659668460E-1,2.777358890E-1,8.071100235E0,5.269798756E0,9.643162093E0
1.679688460E-1,2.897072434E-1,8.063917160E0,5.482889175E0,9.755652923E0
1.699708460E-1,3.304099143E-1,8.049551964E0,5.698374271E0,9.867924142E0
1.719728460E-1,3.447755575E-1,8.049551964E0,5.937801361E0,1.000857842E1
1.739748460E-1,3.711125851E-1,8.061523438E0,6.045543671E0,1.008337657E1
1.759768460E-1,3.759011328E-1,8.042368889E0,6.208354473E0,1.016684141E1
1.779788460E-1,3.759011328E-1,8.011243820E0,6.284971237E0,1.018931758E1
1.799808460E-1,3.782954216E-1,7.999272346E0,6.423839092E0,1.026631259E1
1.819828460E-1,3.471698463E-1,7.980117798E0,6.541158676E0,1.032422219E1
1.839848460E-1,3.256213665E-1,7.965752125E0,6.584255695E0,1.033980944E1
1.859868460E-1,2.825244367E-1,7.946598053E0,6.648900986E0,1.036513989E1
1.879888460E-1,2.466102988E-1,7.898712635E0,6.670449734E0,1.034143982E1
1.899908460E-1,2.083019018E-1,7.893924236E0,6.668055534E0,1.033539521E1
1.919928460E-1,1.723877788E-1,7.874769688E0,6.641718388E0,1.030311304E1
1.939948460E-1,1.484450400E-1,7.850827217E0,6.591438770E0,1.025205292E1
1.959963850E-1,1.149251908E-1,7.831672668E0,6.572284222E0,1.022463811E1
1.979925380E-1,9.816526622E-2,7.817307472E0,6.514821529E0,1.017658254E1
1.999919230E-1,5.267404765E-2,7.814912796E0,6.404685020E0,1.010423806E1
2.019939230E-1,2.394274808E-2,7.810124397E0,6.354405403E0,1.006861879E1
2.039959230E-1,-5.746259540E-2,7.790970325E0,6.239480019E0,9.981664764E0
2.059979230E-1,-1.316851079E-1,7.790970325E0,6.107795238E0,9.900592015E0
2.079999230E-1,-1.699935049E-1,7.781393051E0,6.040755272E0,9.852395641E0
2.100019230E-1,-2.083019018E-1,7.752661705E0,5.923435688E0,9.758803387E0
2.120039230E-1,-2.705530524E-1,7.721536160E0,5.830059052E0,9.679096454E0
2.140059230E-1,-3.136500120E-1,7.728719234E0,5.779779434E0,9.655947786E0
2.160079230E-1,-3.687183261E-1,7.728719234E0,5.698374271E0,9.609397668E0
2.180071920E-1,-4.237866402E-1,7.733507633E0,5.643305779E0,9.582986775E0
2.200091920E-1,-4.357580245E-1,7.735901833E0,5.633728504E0,9.579820409E0
2.220103080E-1,-4.429408312E-1,7.755055904E0,5.638517380E0,9.598435649E0
2.240088840E-1,-4.429408312E-1,7.802941799E0,5.650488377E0,9.644175247E0
2.260091540E-1,-4.597007632E-1,7.812518597E0,5.645699978E0,9.649906728E0
2.280111540E-1,-4.453351200E-1,7.841249943E0,5.686402798E0,9.696324088E0
2.300131540E-1,-4.094209969E-1,7.862798691E0,5.717528343E0,9.730434685E0
2.320151540E-1,-3.950553536E-1,7.874769688E0,5.741470814E0,9.753591824E0
2.340171150E-1,-3.208328187E-1,7.879558563E0,5.830059052E0,9.807138492E0
2.360191150E-1,-2.466102988E-1,7.891529560E0,5.923435688E0,9.870367054E0
2.380208460E-1,-2.011190802E-1,7.905895233E0,5.978504181E0,9.913936683E0
2.400196540E-1,-1.173194647E-1,7.886741161E0,6.081458092E0,9.959848519E0
2.420204610E-1,-5.746259540E-2,7.872375488E0,6.158074856E0,9.994972922E0
2.440218840E-1,-2.633702382E-2,7.877163887E0,6.184412003E0,1.001485678E1
2.460238840E-1,2.633702382E-2,7.850827217E0,6.215537548E0,1.001344539E1
2.480242690E-1,2.394274808E-2,7.814912796E0,6.244268894E0,1.000321595E1
2.500262690E-1,4.788549617E-3,7.817307472E0,6.232297421E0,9.997592219E0
2.520275770E-1,-2.394274808E-2,7.800547123E0,6.244268894E0,9.991996932E0
2.540295770E-1,-4.070267081E-2,7.783787251E0,6.225114346E0,9.966998008E0
2.560285380E-1,-4.788549617E-2,7.778998852E0,6.217931747E0,9.958804716E0
2.580305380E-1,-8.858817071E-2,7.788576126E0,6.182017326E0,9.944199523E0
2.600246540E-1,-1.460507661E-1,7.776604652E0,6.155680656E0,9.919138828E0
2.620266540E-1,-1.604164094E-1,7.788576126E0,6.138920784E0,9.918366795E0
2.640286540E-1,-2.274561077E-1,7.812518597E0,6.110189438E0,9.920766002E0
2.660306540E-1,-2.729473412E-1,7.790970325E0,6.035966873E0,9.859341507E0
2.680326540E-1,-3.016786277E-1,7.783787251E0,6.019207001E0,9.844247400E0
2.700346540E-1,-3.232271075E-1,7.778998852E0,5.956955910E0,9.803194510E0
2.720366540E-1,-3.447755575E-1,7.774210453E0,5.897099018E0,9.763861694E0
2.740386540E-1,-3.447755575E-1,7.764633179E0,5.861184597E0,9.734571560E0
2.760406540E-1,-3.591412306E-1,7.733507633E0,5.774991035E0,9.658501136E0
2.780405000E-1,-3.639297783E-1,7.709564686E0,5.710345268E0,9.600930976E0
2.800361150E-1,-3.615354896E-1,7.697593689E0,5.676825523E0,9.571311537E0
2.820381150E-1,-3.806896806E-1,7.668862343E0,5.609786034E0,9.509262517E0
2.840401150E-1,-3.950553536E-1,7.649707794E0,5.578660488E0,9.476051441E0
2.860421150E-1,-3.950553536E-1,7.654496670E0,5.552323341E0,9.464443063E0
2.880441150E-1,-4.213923812E-1,7.649707794E0,5.542746067E0,9.456089828E0
2.900461150E-1,-4.285751879E-1,7.680833817E0,5.569083214E0,9.497029675E0
2.920481150E-1,-4.381522834E-1,7.690410614E0,5.569083214E0,9.505213342E0
2.940501150E-1,-4.453351200E-1,7.676044941E0,5.595420361E0,9.509401575E0
2.960521150E-1,-4.549122155E-1,7.661679268E0,5.621757030E0,9.513801892E0
2.980541150E-1,-4.620950520E-1,7.656890869E0,5.636122704E0,9.518791349E0
3.000551150E-1,-4.525179267E-1,7.649707794E0,5.655277252E0,9.523915298E0
3.020571150E-1,-4.094209969E-1,7.609005451E0,5.712739468E0,9.523653802E0
3.040591150E-1,-3.974496126E-1,7.599428177E0,5.748653889E0,9.537101045E0
3.060573840E-1,-3.902668059E-1,7.551542759E0,5.834847927E0,9.551102374E0
3.080593840E-1,-3.639297783E-1,7.525205612E0,5.925830364E0,9.585229778E0
3.100591540E-1,-3.591412306E-1,7.510839939E0,5.959350109E0,9.594558496E0
3.120596150E-1,-3.375927508E-1,7.448588848E0,6.055120945E0,9.605203504E0
3.140575770E-1,-3.351984620E-1,7.398309231E0,6.134131908E0,9.616387667E0
3.160595770E-1,-3.280156553E-1,7.391126156E0,6.136526108E0,9.612142987E0
3.180615770E-1,-3.351984620E-1,7.321692467E0,6.179623127E0,9.586828494E0
3.200635770E-1,-3.328042030E-1,7.297749519E0,6.193988800E0,9.577755684E0
3.220655770E-1,-3.447755575E-1,7.269018173E0,6.229903221E0,9.579623663E0
3.240675770E-1,-3.878725171E-1,7.261835575E0,6.234691620E0,9.578939430E0
3.260695770E-1,-4.166038036E-1,7.252258301E0,6.229903221E0,9.569770286E0
3.280715770E-1,-4.429408312E-1,7.271412373E0,6.256239891E0,9.602612772E0
3.300735770E-1,-4.956148863E-1,7.319298267E0,6.284971237E0,9.660156556E0
3.320755770E-1,-5.339232683E-1,7.350423813E0,6.272999763E0,9.678033391E0
3.340775770E-1,-5.865973234E-1,7.369577885E0,6.318490982E0,9.725127398E0
3.360795770E-1,-6.273000240E-1,7.446194649E0,6.323279858E0,9.788931925E0
3.380779610E-1,-6.440598965E-1,7.489291668E0,6.332856655E0,9.829006880E0
3.400799610E-1,-6.584255695E-1,7.546754360E0,6.354405403E0,9.887643482E0
3.420819610E-1,-6.799740195E-1,7.585062504E0,6.354405403E0,9.918367098E0
3.440839610E-1,-6.632141471E-1,7.623371124E0,6.354405403E0,9.946562639E0
3.460859610E-1,-6.632141471E-1,7.671256542E0,6.325674057E0,9.965048029E0
3.480862690E-1,-6.081457734E-1,7.685622215E0,6.282577038E0,9.945320727E0
